slot_id  revenue  occupancy  occupied
1        450      29         0       
2        800      14         0       
3        200      47         0       
4        750      33         0       
5        100      19         0       
6        650      6          0       
7        350      21         0       
8        900      13         0       
9        500      44         0       
10       300      36         0       
11       150      18         0       
12       700      25         0       
13       400      8          0       
14       600      23         0       
15       250      45         0       
16       950      11         0       
17       800      38         0       
18       550      9          0       
19       100      3          0       
20       900      32         0       
21       1400     10         1       
22       450      41         1       
23       26385    37         1       
24       150      47         1       
25       700      2          0       
26       300      17         0       
27       350      28         0       
28       750      4          0       
29       500      20         0       
30       250      5          0       
